key,model_id,tok_per_s,wall_s,include
ollama_llama2_7b,llama2:7b-chat,105.1,3.4,True
ollama_llama3_8b,llama3:8b,93.6,3.2,True
ollama_llama31_8b,llama3.1:8b,88.6,3.4,True
ollama_qwen25_7b,qwen2.5:7b,93.6,3.1,True
ollama_llama32_3b,llama3.2:3b,180.6,2.7,True
